# epoch	train_loss	dev_loss	dev_score	best_dev_score
5	0.029043	0.1002	0.1002
new best model saved at epoch 5: 11.96	3.28	35.09	10.02
10	0.022958	0.1863	0.1863
new best model saved at epoch 10: 19.80	8.28	62.32	18.63
15	0.022104	0.1812	0.1863
20	0.021590	0.1818	0.1863
25	0.021165	0.1900	0.1900
new best model saved at epoch 25: 20.48	8.51	62.72	19.00
30	0.020790	0.1877	0.1900
35	0.019689	0.1803	0.1900
40	0.018814	0.1972	0.1972
new best model saved at epoch 40: 21.19	8.82	64.50	19.72
45	0.018365	0.2106	0.2106
new best model saved at epoch 45: 21.80	9.83	68.34	21.06
50	0.017985	0.2134	0.2134
new best model saved at epoch 50: 22.39	9.85	69.60	21.34
55	0.017922	0.2061	0.2134
60	0.017145	0.2163	0.2163
new best model saved at epoch 60: 22.38	10.21	69.84	21.63
65	0.017452	0.2054	0.2163
70	0.017340	0.2143	0.2163
75	0.016924	0.2160	0.2163
80	0.017185	0.2091	0.2163
85	0.016929	0.2160	0.2163
90	0.017056	0.2124	0.2163
95	0.016867	0.2191	0.2191
new best model saved at epoch 95: 22.70	10.38	69.77	21.91
100	0.016886	0.2172	0.2191
105	0.016822	0.2045	0.2191
110	0.016898	0.2158	0.2191
115	0.016600	0.2132	0.2191
120	0.016762	0.2058	0.2191
125	0.016592	0.2080	0.2191
130	0.016646	0.2196	0.2196
new best model saved at epoch 130: 22.83	10.33	70.35	21.96
135	0.016432	0.2139	0.2196
140	0.016538	0.2099	0.2196
145	0.016345	0.2141	0.2196
150	0.016266	0.2178	0.2196
155	0.016290	0.2228	0.2228
new best model saved at epoch 155: 23.47	10.58	70.89	22.28
160	0.015916	0.2196	0.2228
165	0.016125	0.2247	0.2247
new best model saved at epoch 165: 23.45	10.76	70.63	22.47
170	0.016107	0.2232	0.2247
175	0.015850	0.2227	0.2247
180	0.015857	0.2219	0.2247
185	0.015957	0.2277	0.2277
new best model saved at epoch 185: 23.29	10.90	72.62	22.77
190	0.015703	0.2215	0.2277
195	0.015610	0.2183	0.2277
200	0.015380	0.2242	0.2277
205	0.015726	0.2147	0.2277
